Crucero,semaforizado,total_incidentes,LATITUDE,LONGITUDE,street_view
PERIFERICO RAUL LOPEZ SANCHEZ & AV PROLONG. JUAREZ OTE,No,13,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
PERIFERICO RAUL LOPEZ SANCHEZ & BLVD EL TAJITO,No,13,25.5833362,-103.415623,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5833362,-103.415623"
PERIFERICO RAUL LOPEZ SANCHEZ & C ANTONIO DUEEZ OROZCO,No,13,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
PERIFERICO RAUL LOPEZ SANCHEZ & C SANTA FE,No,13,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
CALZ. COLON & AV ALLENDE,Sí,12,25.5412368,-103.448753,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5412368,-103.448753"
CALZ. COLON & BLVD INDEPENDENCIA,Sí,12,25.5472374,-103.448509,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5472374,-103.448509"
PERIFERICO RAUL LOPEZ SANCHEZ FTE A GALERIAS,No,12,25.4959173,-103.4008397,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.4959173,-103.4008397"
PERIFERICO RAUL LOPEZ SANCHEZ SOBRE PUENTE LOS ALAMOS,No,12,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
AV. HIDALGO & AV IGNACIO COMONFORT,Sí,11,25.5585754,-103.4951585,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5585754,-103.4951585"
AV. PRESIDENTE CARRANZA & AV EL SIGLO DE TORREON,Sí,11,25.5362026,-103.4247723,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5362026,-103.4247723"
BLVD. INDEPENDENCIA & AV ZACATECAS,Sí,11,25.5508077,-103.4449081,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5508077,-103.4449081"
CALZ. COLON & AV ESCOBEDO,Sí,11,25.5440833,-103.4485105,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5440833,-103.4485105"
CALZ. COLON & AV HIDALGO,Sí,11,25.5374142,-103.4485585,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5374142,-103.4485585"
PERIFERICO RAUL LOPEZ SANCHEZ & PROLONG. BRAVO OTE,No,11,25.5823808,-103.4184719,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=25.5823808,-103.4184719"
